id,sentence,created_at,ave_sentiment,user_username
65,"#PeabodyPeople: Rae O’Brien, Director – Australia Underground Development has been named Metropolitan Mine General Manager. Rae has served in various senior roles across the mining industry over the past 25 years.  Her experience leading teams, improving on-site processes and 1/2 https://t.co/D0xMrx0AK5",2019-11-12T19:01:52.000Z,0.15040422,peabodyenergy
66,"Today, Peabody salutes our veterans and their families for their bravery and sacrifice. A special #thankyouforyourservice. #VeteransDay #RemembranceDay  

Pictured: Marine Corps Colonel (ret.) Mike Breneman of the Peabody safety team cutting the Marines birthday cake in 2018: https://t.co/TogJn004H9",2019-11-11T17:10:24.000Z,0.306851755,peabodyenergy
67,#CaseforCoal https://t.co/UmUoL4N3yK https://t.co/ha3jRuWtd2,2019-11-08T17:42:43.000Z,0,peabodyenergy
68,November is Native American Heritage Month. Peabody is proud to honor our Native American workforce at the Kayenta Mine in Arizona and the community members the mine has supported over the years. https://t.co/e5UskRAh2o https://t.co/PjRDYZ6GRM,2019-11-06T21:51:22.000Z,0.296834161,peabodyenergy
69,"#CaseforCoal: “Thus, coal-related investments can help countries meet specific Sustainable Development Goals (SDGs) to promote universal access to affordable electricity in the poorest parts of the world.” https://t.co/dsP0m0riGR https://t.co/j7J3hNUP9x",2019-11-05T19:11:41.000Z,0.390434405,peabodyenergy
70,#CaseforCoal https://t.co/UmUoL4N3yK https://t.co/UPORrby2Jk,2019-11-01T19:54:50.000Z,0,peabodyenergy
71,RT @WorldCoal: RT (Reuters): ‘#Coal demand in #Asia will grow in coming years primarily due to its affordability as the region needs to pow…,2019-11-01T19:37:07.000Z,0.061237244,peabodyenergy
72,#PeabodyPeople: Peabody’s Development Program Helps Former HR Specialist Prepare for New Manager Role - https://t.co/xvEoZgP1Op https://t.co/iPTdojr6wc,2019-10-31T21:51:36.000Z,0.347011047,peabodyenergy
73,"#HappyHalloween, from the Peabody team! Follow these #safety tips from the National Safety Council to make sure you Halloween is safe. https://t.co/bEIWyxznKr",2019-10-31T15:21:44.000Z,0.408906182,peabodyenergy
74,"RT @WorldCoal: 'Carbon capture, utilisation and storage is a vital technology option to reduce emissions from the power sector and from ind…",2019-10-31T15:20:44.000Z,0.063960215,peabodyenergy
75,#Reclamation: Congratulations to our Kayenta Mine for receiving a National Award from the U.S. Office of Surface Mining Reclamation and Enforcement. #CoalDoneRight https://t.co/As9Mw8PSco,2019-10-29T21:55:10.000Z,0.304377582,peabodyenergy
76,#Reclamation: Peabody’s former Vermilion Grove Mine in Illinois was honored this week with a National Award from the U.S. Office of Surface Mining Reclamation and Enforcement #CoalDoneRight https://t.co/84o5QuqU80,2019-10-29T21:53:49.000Z,0.319830325,peabodyenergy
77,RT @WorldCoal: #ICYMI: The average age of #coal-fired power plants in Asia is just 12 years. A low emission #technology pathway can balance…,2019-10-29T21:52:12.000Z,0.069787566,peabodyenergy
78,#CaseforCoal: More than 40 nations have added coal-fueled generation since 2010 https://t.co/UmUoL4N3yK https://t.co/UWqCtfkHYk,2019-10-25T20:17:17.000Z,0.160996894,peabodyenergy
79,#TBT: A Peabody train in 1972. Peabody has been serving coal to customers including electric utilities and industrial plants since 1883. #CustomerFocus https://t.co/TIjQYVXnWQ https://t.co/LFklnl2XbV,2019-10-24T18:54:55.000Z,0.078293569,peabodyenergy
80,#Reclamation: Peabody’s former Vermilion Grove Mine in Illinois was honored this week with a National Award from the U.S. Office of Surface Mining Reclamation and Enforcement #CoalDoneRight  https://t.co/grZqrOXFtR https://t.co/If6OBV16uC,2019-10-24T16:28:59.000Z,0.313583149,peabodyenergy
81,#Reclamation: Congratulations to our Kayenta Mine for receiving a National Award from the U.S. Office of Surface Mining Reclamation and Enforcement. #CoalDoneRight https://t.co/grZqrOXFtR https://t.co/5gGXdZXbQA,2019-10-23T15:23:50.000Z,0.304377582,peabodyenergy
82,RT @NationalMining: NMA’s Sentinels of Safety Award recognizes coal and mineral mining operations in 10 categories for recording the most h…,2019-10-22T20:45:01.000Z,0.33823773,peabodyenergy
83,"#DYK: The Sentinels of Safety award was initiated in 1925 by then Commerce Secretary Herbert Hoover, a former mining engineer. The award remains the nation’s most prestigious recognition of mine safety and has helped foster a strong safety commitment on the part of U.S. mines.",2019-10-22T20:44:38.000Z,0.88074496,peabodyenergy
84,#Safety: Congratulations to our Rawhide Coal Processing Facility near Gillette for winning a prestigious Sentinels of Safety Award from the @NationalMining #CoalDoneRight https://t.co/CYRGu5qpPs,2019-10-22T20:44:28.000Z,0.933382935,peabodyenergy
85,"RT @WorldCoal: #Steel is fundamental to a more #sustainable world, helping to build lighter, more efficient vehicles, new highly efficient…",2019-10-22T20:42:16.000Z,1.5920804,peabodyenergy
86,"RT @WorldCoal: The world needs abundant, reliable and low cost sources of #energy to help #power economic transformation. Securing them is…",2019-10-18T20:55:17.000Z,0.225084127,peabodyenergy
