sentence,created_at,ave_sentiment,user_username
RT @karolinabrosche: I Falun stöttar vi @GretaThunberg och firar #FridaysForFuture! #TillsammansFörKlimatet #BackaGreta https://t.co/TQESQG…,2019-01-27T07:21:51.000Z,0,Fridays4future
"RT @HollyWildChild: Don't forget, the 15th of February is a UK wide school strike for the climate. I am planning a big event in Fort Willia…",2019-01-27T07:21:45.000Z,0.05301638,Fridays4future
RT @Whitemaskgirl: Feedback loops som släpper ut metangas under permafrosten är livsfarligt. Det är det som oroar mig mest. Och nu har det…,2019-01-27T07:21:41.000Z,0,Fridays4future
"RT @KlimatsamlGbg: I Göteborg var det flera klimaktiviteter i gång 25.1. #FridaysForFuture , Klimatstrejken samlade 35-40 personer på Gusta…",2019-01-27T07:21:23.000Z,0,Fridays4future
RT @BjornBengtsson: #fridaysforfuture #falkenberg tionde veckan i rad https://t.co/cJ2Px0J6Om,2019-01-27T07:21:17.000Z,0,Fridays4future
"RT @HellkvistJorg: #FridaysForFuture i #Norrtälje
Ett trevligt gäng trotsade snö och kylan. https://t.co/YDB7uU3lca",2019-01-27T07:21:15.000Z,0,Fridays4future
RT @tinawilhelmsson: Klimatstrejk i Ånge 🌱✊🏻 #ånge #klimatstrejk #fridaysforfuture #backagreta https://t.co/sC2D45kbXD,2019-01-27T07:20:51.000Z,0,Fridays4future
"RT @AlexandriaV2005: 1/I keep getting asked why school strike? Some say it's because there's no use going to school if we have no future, b…",2019-01-26T09:29:48.000Z,-0.136421582,Fridays4future
RT @AlexandriaV2005: 2/At school we're taught how to be good consumers and to depend on fossil fuels. We're taught to keep growing an econo…,2019-01-26T09:29:45.000Z,0.272453602,Fridays4future
"RT @AlexandriaV2005: 3/At school we’re not taught the science of climate change. We’re not taught how many animals, birds and bugs are dyin…",2019-01-26T09:29:42.000Z,-0.157526075,Fridays4future
RT @AlexandriaV2005: 4/I know I would like to learn all of this and I think a lot of other youth are just like me. I also think youth need…,2019-01-26T09:29:40.000Z,0.313979279,Fridays4future
RT @AlexandriaV2005: 5/So this is why I am striking! I want more young people aware of what climate change and mass extinction means for ou…,2019-01-26T09:29:36.000Z,0.173333333,Fridays4future
RT @AlexandriaV2005: @GretaThunberg @MichaelEMann @ClimateHuman @KHayhoe @EricHolthaus @GretaThunberg @sunrisemvmt @ExtinctionR @350 @Georg…,2019-01-26T09:29:33.000Z,0,Fridays4future
"RT @AlexandriaV2005: Today, I found this article online about my @UN #ClimateStrike calling me the ""American version"" of @GretaThunberg...a…",2019-01-26T09:29:01.000Z,0.134164079,Fridays4future
